Customer ID,order_id,p_brand,brand_name,customer_gender,Name 
C1,3,Cherokee,Deborah Milano,MALE,Aaban
C2,10,Ascot,Nanz Comfort,MALE,Aabid
C3,12,Ascot,Mia by Tanishq,FEMALE,Aadam
C4,3,Westside Home,Titan,FEMALE,Aadan
C5,1,AMZER,0,MALE,Aadarsh
C6,7,Creative,0,MALE,Aaden
C7,23,Westsport,0,MALE,Aadesh
C8,2,Karigari,0,MALE,Aadhav
C9,1,Utsa,Red Tape,MALE,Aadhavan
C10,6,Westsport,Prita,MALE,Aadhi
C11,14,Provogue,United Colors of Benetton,MALE,Aadhvik
C12,1,Lacoste,0,MALE,Aadhyan
C13,2,Zudio,0,MALE,Aadi
C14,3,WES Casuals,0,FEMALE,Aadian
C15,14,Red Tape,0,MALE,Aadil
C16,1,ClickCase,0,MALE,Aadin
C17,37,Plum,Puma,MALE,Aadish
C18,7,Sassy Soda,Dyson,FEMALE,Aadit
C19,2,Zudio,0,MALE,Aadith
C20,1,Zudio,Ed-a-Mamma,MALE,Aadithya
C21,2,Utsa,0,MALE,Aaditya
C22,4,Global Desi,0,FEMALE,Aadiv
C23,1,Armani Exchange,0,MALE,Aadon
C24,3,Femella,0,FEMALE,Aadrian
C25,48,Gia,De Moza,FEMALE,Aadrit
C26,3,Allen Solly,Vero Moda,FEMALE,Aadvik
C27,3,Shonaya,0,MALE,Aadyn
C28,3,Zudio,0,MALE,Aagam
C29,5,Cottonworld,0,FEMALE,Aage
C30,3,Interflora,0,MALE,Aahaan
C37,6,Reforce,0,FEMALE,Radi
C42,4,HOP,0,FEMALE,Radin
C45,7,HOP,0,FEMALE,Radlee
C77,1,Utsa,Sparx,FEMALE,Raees
C85,3,Utsa,0,FEMALE,Raeghan
C105,2,Voltas,0,FEMALE,Raeleigh
C107,1,Gia,0,FEMALE,Raelena
C108,1,Kraus,0,FEMALE,Raelene
C162,3,Jaipur Kurti,0,MALE,Raeven
C163,4,Jockey,0,MALE,Raevin
C164,1,Apple,0,MALE,Raevon
C166,1,Weststreet,0,MALE,Raevynn
C168,2,Oak & Keel,Spykar,MALE,Raeya
C169,2,Dune London,0,MALE,Raeyah
C170,3,adidas,adidas,MALE,Raeyana
C171,16,realme,0,MALE,Raeyanna
C172,10,Puma,0,MALE,Raeyonna
C173,1,Zuba,LACOSTE,MALE,Rafa
C174,1,Spykar,Mufti,MALE,Rafael
C179,1,Wunderlove,Westside Home,MALE,Rafal
C180,2,Portronics,0,MALE,Rafan
C181,4,MyGlamm,Skechers,MALE,Rafat
C183,4,Baggit,Vero Moda,MALE,Rafe
C184,4,Usha,0,MALE,Rafeal
C185,1,Panasonic,0,MALE,Rafee
C186,2,Mamaearth,0,MALE,Rafeef
C187,2,Noise,Corseca,MALE,Rafeek
C188,1,WD,0,MALE,Rafeeq
C189,1,Crocs,0,MALE,Rafel
C190,4,Khadi Essentials,0,MALE,Rafela
C193,5,Red Tape,Bewakoof,MALE,Raffael
C195,2,Xiaomi,0,MALE,Raffaele
C196,8,Gia,Aks,MALE,Raffaella
C197,3,Times Prime,0,MALE,Raffeal
C199,1,Juniper,0,MALE,Raffi
C200,1,Globus,0,MALE,Raffie
C201,4,Juniper,0,MALE,Raffiel
C202,3,Jockey,0,MALE,Raffinee
C203,2,Femora,0,MALE,Raffy
C205,26,Budding Bees,Bewakoof,MALE,Rafi
C207,2,Cherokee,0,MALE,Rafid
C210,1,Budding Bees,0,MALE,Rafik
C211,1,Basics,0,MALE,Rafiq
C213,1,Arrow,0,MALE,Rafuel
C214,1,Reebok,0,MALE,Ragad
C215,3,Canon,Casio,MALE,Ragan
C216,5,Xiaomi,0,MALE,Ragav
C217,1,Philips,0,MALE,Rage
C219,1,Pantaloons Junior,0,MALE,Ragena
C220,3,Cherokee,0,MALE,Ragene
C222,2,Levi's,0,MALE,Raghad
C223,1,Zudio,SCHARF,MALE,Raghav
C224,1,Xiaomi,0,MALE,Raghavi
C225,11,Duke,0,MALE,Raghib
C226,1,Ed-a-Mamma,Tiitan,MALE,Ragin
C227,2,realme,0,MALE,Ragina
C228,1,Jockey,0,MALE,Ragine
C229,1,Sony,0,MALE,Ragini
C230,2,Red Tape,0,MALE,Ragna
C231,2,HOSTA HOMES,0,MALE,Ragnar
C233,3,Jockey,0,MALE,Raguel
C234,3,Reebok,SanDisk,MALE,Raha
C235,1,Fastrack,0,MALE,Rahab
C236,1,Boat,0,MALE,Rahaf
C237,2,Xiaomi,Wipro,MALE,Rahama
C239,2,Borosil,0,MALE,Rahanna
C240,1,Red Tape,0,MALE,Rahasia
C243,2,Duke,0,MALE,Raheam
C244,1,Crocs,Juniper,MALE,Raheel
C245,6,Budding Bees,Bewakoof,MALE,Raheem
C246,1,Noise,0,MALE,Raheema
C247,1,Red Tape,0,MALE,Raheemah
C251,3,Homesake,0,MALE,Rahela
C252,1,Red Tape,0,MALE,Rahem
C253,4,Xiaomi,0,MALE,Rahf
C256,1,Jockey,0,MALE,Rahiem
C257,1,realme,0,MALE,Rahil
C258,2,Asics,0,MALE,Rahila
C259,8,GAP,Clay Craft,MALE,Rahim
C260,1,Mothercare,0,MALE,Rahima
C263,1,SanDisk,0,MALE,Rahjae
C265,1,Puma,0,MALE,Rahkeem
